p_Name of elected MP,h_Name,p_Birthdate,h_Date of Birth,h_State Name,p_State,p_Twitter,h_Constituency from which I am elected,p_Constituency,h_Party Name,p_Gender,p_Total Assets,h_Social and Cultural Activities,h_Educational Qualifications,h_Countries Visited,h_Permanent Address,p_Positions Held,h_Sports and Clubs,h_Birth Place,h_Profession,p_Income,h_Positions Held,p_Party affiliation,h_Special Interests
Adhalrao Shivaji Dattatray,Shri Shivaji Adhalrao Patil,5/8/56,8-May-56,Maharashtra,Maharashtra,No,Shirur,Shirur,Shiv Sena,M,"12,71,13,134","Organised a two days workshop on `Entrepreneurship Development` at Landewadi, District Pune, Maharashtra in 1996 for the career guidance and encouragement of entrepreneurs from rural part of Pune ;  organised a workshop of NRI and Industrialists of Maharashtra on behalf of JMCCI held in 1995 which was attended by more than three hundred NRIs from U.S.A and U.K.; organised `Industrious Maharashtra Exhibition` in 1994 held in Vigyan Bhavan, New Delhi;  successfully led the delegation of 92 Industrialists from Maharashtra to U.S.A. in 1995 on behalf of Jagatik Marathi Chamber of Commerce & Industries","Intermediate (Arts)   Educated at Shivaji University, Kolhapur, Maharashtra",Widely travelled,"(i) At Post - Landewadi, Taluka - Ambegaon,Distt. Pune - 410 503 MaharashtraTels. (02133) 235101, 09820021344 (M) Fax. (02133) 235102",,"Cricket, football and golf","Landewadi, Taluka Ambegaon,  Pune (Maharashtra)",,"12,71,13,134 1",,Shivsena,Promotion of entrepreneurship in rural areas; upliftment of tribal and poorer sections; promotion of   agricultural development and productivity
Kirodi Lal,Dr. Kirodilal Meena,11/3/51,3-Nov-51,Rajasthan,Rajasthan,No,Dausa,Dausa,Independent,M,"80,80,496",Social work through NGO like- running medical camps for poor patients; assistance for poor persons during natural calamities & accidents; financial assistance for martyrs and army man,"M.B.B.S.   Educated  at S.P. Medical College, Bikaner, Rajasthan ",U.S.A,"Vill. Khohra, P.O. - Badabujug, Teh. - Mahawa,Distt. - Dausa, RajasthanTelefax. (0141) 2373047, 09414077707 (M)",,,"Vill. Khohra, Distt. Dausa (Rajasthan)",,"80,80,496 80 L",,Independent,Reading
Vilasrao Baburaoji Muttemwar,Shri Vilas Baburao Muttemwar,22/03/1949,22-Mar-49,Maharashtra,Maharashtra,https://twitter.com/vilasmuttemwar,Nagpur,Nagpur,Indian National Congress,M,"1,53,02,294","<I>Organizing Secretary</I>, Union of Working Journalists, Nagpur - 1974-75; imprisoned several times for participation in student and youth organization activities in Vidarbha Region, <I>President,</I> Maratha Lancers, Nagpur, and Convenor, International Day for Non-violence Organizing Committee, <I>organized</I> (i) International Marathon (in 2009 and 2010) and (ii) All India Kabaddi Tournament during 2005, 2006, 2007, 2008 and  2009","B. Com.  Educated at Nagpur University, Nagpur, Maharashtra ","<I>Member</I> Indian delegation, (i) European Parliament, 1988 (ii) 88th I.P.U. Conference, Stockholm, Sweden, 1992 (iii) USA, U.K., Germany, Iceland, Spain, Australia, China, Malaysia, Thailand, Singapore, Hong Kong. Accompained the former President of India Dr. A.P.J. Abdul Kalam during his visit to France and Greece in 2006; accompanied the Hon`ble President of India, Smt. Pratibha DeviSingh Patil during her visit to Portugal (Lisbon), Brazil, Mexico, Chile, South Africa (Cape Town) in 2008","Ashoka Residency (Behind Das Jewellers), Plot No. 18,Shivaji Nagar, Nagpur - 440 010  MaharashtraTel. (0712) 2248441   Telefax. (0712) 2248377",,"<I>President</I>, Maratha Lancers, Nagpur;<I>Member</I> (i)India International Centre; (ii) National Sports Club; and (iii) India Habitat Centre;","Sindewahi, Distt. Chandrapur (Maharashtra)",,"1,53,02,294 1",,Indian National Congress,"Cultural activities, singing, listening music and drama "
Konakalla Narayana Rao,Shri Konakalla Narayana Rao,5/4/50,4-May-50,Andhra Pradesh,Andhra Pradesh,No,Machilipatnam,Machilipatnam,Telugu Desam Party,M,"86,16,000",Attached to many social activities. Arrange drama and play competition in native town,Higher Secondary,"Australia, Malaysia, Singapore and Thailand","18/126, Sukarlabad, Machilipatnam, Krishan Distt.,Andhra Pradesh - 521 001Tels. (08672) 222229,  Fax. (08672) 222229",,,"Machilipatnam, Distt. Krishna (Andhra Pradesh)",,"86,16,000 86 L",,Telugu Desam Party,"work for the poor,SC, ST and Other Backward Classes people"
C. Rajendran,Shri C. Rajendran,8/6/60,6-Aug-60,Tamil Nadu,Tamil Nadu,No,Chennai South,Chennai South,All India Anna Dravida Munnetra Kazhagam,M,"2,83,16,678",,"B.A., B.L. Educated at Madras Law College, Tamil Nadu","Malaysia, Singapore and Sri Lanka","60, Gandhi Street, Chitlapakkam,Chennai-600064Tels. (044) 22230433",,Cricket and badminton,Chennai (Tamil Nadu),,"2,83,16,678 2",,All India Anna Dravida Munnetra Kazhagam,
Baidyanath Prasad Mahto,Shri Baidyanath Prasad Mahto,6/2/47,2-Jun-47,Bihar,Bihar,No,Valmiki Nagar,Valmiki Nagar,Janata Dal (United),M,"44,28,802",Mobilized people against the crime and criminals in Bettiah and strived to maintain law and order in the West Champaran District defeating the criminal designs; and encouraged children to participate in co-curricular and cultural activities apart from their studies.,"Matriculate   Educated at H.S. Bathanaha, West Champaran,Bihar",,"Pakaria Tola, Bahorapur, P.O. Manjharia, PS Jagdishpur,Distt. West Champaran, BiharTels. (06254) 241625, 225646 9431212725 (M)",,Volley Ball,"Vill. Pakaria, Distt. West Champaran (Bihar)",,"44,28,802 44 L",,Janata Dal (United),"Playing Harmonium, classical songs, playing benzo and flute, training drama groups and their presentation"
Meenakshi Natrajan,Km. Meenakshi Natrajan,23/07/1973,23-Jul-73,Madhya Pradesh,Madhya Pradesh,No,Mandsour,Mandsour,Indian National Congress,F,"11,26,966",,"M.Sc., (Biochemistry), LL.B.  Educated at Holkar Science College, GACC Indore, DAVV University, Madhya Pradesh","Bahamas, Bangladesh, China and Singapore","23, MIG, Indira Nagar,Ratlam, Madhya PradeshTel. 09826224400  (M)",,,"Vill. Nagda, Distt. Ratlam (Madhya Pradesh)",,"11,26,966 11 L",,Indian National Congress,
Govind Prasad Mishra,Shri Govind Prasad Mishra,#N/A,2-Aug-49,Madhya Pradesh,Madhya Pradesh,No,Sidhi,Sidhi,Bharatiya Janata Party,M,"51,87,425",Constantly worked for inculcating the feeling of brotherhood in people and their development.,"B.A., LL.B., D.C.E. Educated at A.P.S. University, Rewa,  and Samrat Ashok Technical Institute, Vidisha, Madhya Pradesh",,"Vill. Kosta Pawai, Post. Badokhar,Teh.Churhat, Distt.Sidhi Madhya PradeshTel. (07802) 272111  09893128212 (M)",,Cricket and yoga,"Kosta, Sidhi (Madhya Pradesh)",,"51,87,425 51 L",,Bharatiya Janata Party,Social work
Inder Singh Namdhari,Shri Inder Singh Namdhari,9/10/42,10-Sep-42,Jharkhand,Jharkhand,No,Chatra,Chatra,Independent,M,"2,12,77,657","Established three colleges in Palamu and Gadhwa Districts:(i) Jodh Singh Namdhari Mahila Mahavidyalaya(Recognised), Daltonganj (ii)Sadguru Jagjeet Singh Namdhari  College, Gadhawa (iii) Balwant Singh Namdhari Memorial College, Satbarwa","B.E.(Telecommunication)   Educated at BIT,Sindri, Jharkhand",Widely traveled,"Nawa Toli, Daltenganj, Distt. Palamu- 822 101,JharkhandTel. 09431383050 (M)",,,"Vill.-Naushera, Distt. Gujarat ( Pakistan)",,"2,12,77,657 2",,Independent,"Poetry, Literature and Music"
Susmita Bauri,Smt. Susmita Bauri,1/5/75,5-Jan-75,West Bengal,West Bengal,No,Bishnupur,Bishnupur,Communist Party of India (Marxist),F,"10,78,000",Providing free-legal aid to poor people especially illiterate women,"LL.B. Educated at Hazra, Law College, Calcutta University, West Bengal",,"Saradapally, P.O. Kenduadihi,Distt. Bankura, West BengalTel. (03242)  243765",,Kabaddi and Badminton,"Khatra, Distt.  Bankura (West Bengal)",,"10,78,000 10 L",,Communist Party of India (Marxist),"Horticulture, music and books"
Dilipkumar Mansukhlal Gandhi,Shri Dilip Kumar Mansukhlal Gandhi,5/9/51,9-May-51,Maharashtra,Maharashtra,No,Ahmednagar,Ahmednagar,Bharatiya Janata Party,M,"1,30,53,391","As a leader, instrumental in starting 352 branches of the Bharatiya Janata Party by forming local committees; played a leading role in organising `Kar Seva` for Shriram Mandir Mukti Andolan on behalf of his district; actively participated in `Ayodhya Andolan`; always striving for the social welfare and social justice to the poor and downtrodden, farm workers and the unemployed ","S.S.C.                     Educated at Pune University, Pune (Maharashtra)                  ",,"Devendra Bungalow, Achari Anadrishiji Marg,Ahmednagar - 414 001  MaharashtraTels (0241) 2451515, 2451444, 09422226070 (M)",,"Cricket, volleyball, table tennis and swimming; Member, (i) Lions Club, Ahmednagar; and (ii) Ahmednagar Club, Ahmednagar ","Along, Dound, Distt. Pune (Maharashtra)",,"1,30,53,391 1",,Bharatiya Janata Party,Reading
Chinta Mohan,Dr.  Chinta Mohan,#N/A,11-Nov-54,Andhra Pradesh,Andhra Pradesh,No,Tirupati,Tirupathi,Indian National Congress,M,"55,12,900","Welfare of poor, farmers, women and other weaker sections","M.B.B.S  Educated at Srivenkateswara Medical College, Tirupati, Andhra Pradesh",Widely travelled,"Ramachandra Nagar,Tirupati, Andhra PradeshTels. (0877) 2231827",,"Table Tennis, Tennis and Badminton",Andhra Pradesh,,"55,12,900",,Indian National Congress,
Eknath M. Gaikwad,Shri Eknath Mahadeo Gaikwad,#N/A,1-Jan-40,Maharashtra,Maharashtra,No,Mumbai-South-Central,Mumbai South Central,Indian National Congress,M,"30,88,408",,B.A. 1st Year,,"219/8557, Kannamwar Nagar,Vikhroli (E), Mumbai - 400 083, MaharashtraTels. (022) 25785747, 24024050, 09869061056 (M)",,Indian wrestling and  kabbadi,"Borkhal, Distt. Satara ( Maharashtra)",,"30,88,408",,Indian National Congress,Educational & social work
Madhu Koda,Shri Madhu Kora,1/6/71,6-Jan-71,Jharkhand,Jharkhand,No,Singhbhum,Singhbhum,Independent,M,"98,32,144","Organising Conference, brain storming for the social and cultural development  among various communities  of State   and upliftment thereof and cooperate on the same","Graduate Educated at IGNOU Centre, Bhubneshwar, Orrisa","France, Iran, Switzerland, Thailand, U.A.E. and U.K.","Vill. Pathhatu, Post Maluka, Thana, Jagannathpur,Distt. & P.O. Singhbhum,  Jharkhand",,"Football, chess, hockey and other traditional indoor games","Vill. Gua., Distt. Singbhum (Jharkhand)",,"98,32,144 98 L",,Independent,"Participation in social programmes, literary writing, study in investigation books"
Manicka Tagore,Shri Manicka Tagore,6/1/75,1-Jun-75,Tamil Nadu,Tamil Nadu,https://twitter.com/manickatagore,Virudhunagar,Virudhunagar,Indian National Congress,M,"33,13,910",,"B.A., L.L.B. Educated at Bangalore University, Karnataka",,"31, Lakshmi Colony,Virudhungar, Tamil NaduTels. (04562) 242544, (04522) 482544 (O)   Fax. (04562) 242545",,,Sivaganga (Tamil Nadu),,"33,13,910 33 L",,Indian National Congress,
Kaushalendra Kumar,Shri Kaushalendra Kumar,13/01/1959,13-Jan-59,Bihar,Bihar,No,Nalanda,Nalanda,Janata Dal (United),M,"71,33,058","Campaigned and fought  for the legitimate rights of the weaker sections of the society; took active part in the mass movement for Broad Gauge rail track, barrage at the river and establishment of a Pan (Betel)Research Centre for the farmers, campaigned and fought for the Uderasthan, Punpun-Mohane River Project","B.A.(Hons)   Educated S.P.M. College,Udatpuri, Biharsharif, and Kisan College, Sohsarai, Nalanda, University of Magadh, Bodhgaya, Bihar",,"Haidarchak, Khorampur, IslampurDistt. - Nalanda, BiharTels. (06112) 292245, 09334675322 (M)",,"Badminton, cricket, chess, football and kabaddi","Vill. Haidarchak, Distt.Nalanda(Bihar)",,"71,33,058 71 L",,Janata Dal (United),
Kamla Devi Patle,Smt. Kamla Devi Patle,5/5/66,5-May-66,Chhattisgarh,Chhattisgarh,No,Janjgir-Champa,Janjgir-Champa,Bharatiya Janata Party,F,"35,56,426",,Under Graduate,,"Vill. - Beltukri, P.O. - Khisora, Via - Baloda,Distt. - Janjgir-Champa - 495 559, ChhattisgarhTels (07817) 224030, 09425223033 (M)",,,"Khoddal, Distt. Korba (Chattisgarh)",,"35,56,426 35 L",,Bharatiya Janata Party,
M. Thambidurai,Dr. Munisamy Thambidurai,15/03/1947,15-Mar-47,Tamil Nadu,Tamil Nadu,No,Karur,Karur,All India Anna Dravida Munnetra Kazhagam,M,"9,37,50,227",,"M.A., M.Phil., M.Litt., Ph.D. (Economics) Educated at Madras Christian College, Madras University,Chennai,Tamil Nadu","Widely travelled (11 countries); Leader, IndianParliamentary Delegation to Mauritius, 1987; and DeputyLeader, Indian Parliamentary Delegation to Canada","21-D, Kumarasamy Apartments, Ramanujam Nagar, Kouai Road, Karur - 639001, Tamil Nadu",,,"Chinthagampalli, Distt.Krishnagiri (Tamil Nadu)",,"9,37,50,227 9",,All India Anna Dravida Munnetra Kazhagam,
Nama Nageswara Rao,Shri Nama Nageswara Rao,15/03/1957,15-Mar-57,Andhra Pradesh,Andhra Pradesh,No,Khammam,Khammam,Telugu Desam Party,M,"1,73,75,08,133",,Intermediate,,"8-2-293/82/A/421/A, Road No. 19 and 22, Jublee Hills, Hyderabad  - 500 033 Andhra PradeshTel. 09440625988 (M)",,,"Balapala, Khammam, Andhra Pradesh",,"1,73,75,08,133",,Telugu Desam Party,
Arun Subhashchandra Yadav,Shri Arun Subhashchandra Yadav,15/01/1974,15-Jan-74,Madhya Pradesh,Madhya Pradesh,No,Khandwa,Khandwa,Indian National Congress,M,"5,32,89,688",Running school and engineering school under trust to give education to the poor and downtrodden SC/ST people in Nimar region,"B.Com.   Educated at S.S. Subdh Jain Commerce College, Jaipur, Rajasthan",,"Vill. & P.O. Bwrawa Teh. Kasravad, Distt. Khargone,Madhya PradeshTels. (07285)  277725, 09826077725, 09425087222 (M)",,Cricket and badmintion,"Borawan, Khargone (Madhya Pradesh)",,"5,32,89,688 5",,Indian National Congress,Deveoping new ways of farming and horticulture
Yashwant Sinha,Shri Yashwant Sinha,11/6/37,6-Nov-37,Jharkhand,Jharkhand,https://twitter.com/sinhayashwant,Hazaribagh,Hazaribagh,Bharatiya Janata Party,M,"4,07,76,217",,"M.A.  Educated at Patna University,Bihar ",Widely visited,"Rishabh Vatika via College More,  Vill. Rajgoda, P.O. Morangi, Thana - Mufassil, Demotand, Distt. Hazaribagh, JharkhandTel. (06546) 233418",,"<I>Member,</I>(i) Delhi Gymkhana Club, New Delhi; (ii) Bankipur Club, Patna, President- All India Tennis Association",Patna (Bihar),,"4,07,76,217 4",,Bharatiya Janata Party,"Public administration, external and economic affairs "
Sanna Pakirappa,Shri S. Pakkirappa,#N/A,21-Sep-58,Karnataka,Karnataka,No,Raichur,Raichur,Bharatiya Janata Party,M,"77,36,230",,Under Matriculate,,"D/25/573, Opp. K H B Colony Fort Distt. - Bellary, KarnatakaTel. (0839) 2266387",,,"Vill. Meenahalli,  Dist. Bellary ( Karnataka)",,"77,36,230 77 L",,Bharatiya Janata Party,
Kachhadia Naranbhai,Shri Naranbhai Kachhadia,#N/A,25-Apr-55,Gujarat,Gujarat,No,Amreli,Amreli,Bharatiya Janata Party,M,"47,48,283",,"Under Matriculate   Educated at Govt. of Primary School, Charkhariya, Gujarat",,"Vill. Charkhadiya, Tal. SavarkundlaDistt. Amreli   GujaratTels. (02792) 224848, 9925140545 (M)",,,"Vill.Charkhariya, Distt. Amreli (Gujarat)",,"47,48,283 47 L",,Bharatiya Janata Party,Agricultural Research and reading news paper
Hansraj Gangaram Ahir,Shri Hansraj Gangaram Ahir,11/11/54,11-Nov-54,Maharashtra,Maharashtra,No,Chandrapur,Chandrapur,Bharatiya Janata Party,M,"80,84,050","Chairman, Jai Bhawani Vyayam Prasarak Mandal; motivating people for practice of yoga, campaigning for blood donation and distributing saplings of traditional importance","S.S.C. Educated at L.T.Y. School, Chandrapur, Maharashtra","Mauritius, South Africa and U.A.E as member of Parliamentary Delegation","Gokul  Ward (Bazar Ward),  Chandrapur - 442 402 MaharashtraTel. (07172) 251651 Telefax - (07172) 254791",,"Kabaddi, football, wrestling and volleyball",Nanded (Maharashtra),,"80,84,050 80 L",,Bharatiya Janata Party,Environmental protection
Hemanand Biswal,Shri Hemanand Biswal,#N/A,1-Dec-39,Orissa,Odisha,No,Sundargarh,Sundargarh,Indian National Congress,M,"39,65,199","<I>Chief Patron,</I> TYAGA, Burla, Sambalpur; organizer of Yuvak Sangha, Tribal Welfare Sangha, atheletics association, drama association and educational institutions; participated in plays as an actor during school and college career","Intermediate Educated at Government College, Sundargarh",,"Vill. Thakurpada, P.O. Bhalupatra,Distt. Jharsuguda, Orissa-768220Tels. (06645) 283126,09937350289 (M)  Fax. (06622) 274466",,"Football, javelin throw, badminton and volleyball","Vill. Thakurpada, Distt. Jharsuguda (Orissa)",,"39,65,199 39 L",,Indian National Congress,"Reading books, magazines and biography"
Kamlesh Balmiki,Shri Kamlesh Balmiki,3/12/67,12-Mar-67,Uttar Pradesh,Uttar Pradesh,No,Bulandshahr,Bulandshahr,Samajwadi Party,M,"5,53,005",Associated with  many social organisations,Under Matriculate,,"1153, Buraj, Usman, Idgah Road,Khurja,  Bulandsehar,  Uttar PradeshTel. 09412768768",,Cricket & Football,"Khurja, Bulandsehar (Uttar Pradesh)",,"5,53,005 5 Lacs",,Samajwadi Party,
Chandrakant Khaire,Shri Chandrakant Bhaurao Khaire,27/06/1963,1-Jan-52,Maharashtra,Maharashtra,No,Aurangabad,Aurangabad,Shiv Sena,M,"2,08,87,871","As a social worker,regularly working for the upliftment of the poor especially financially weaker sections of the society and needy persons; organizing (i)social activities in association with the Shiv Sena Party with an aim to providing medical facilities to poor and needy such as  providing ambulances, medicines etc.; and (ii)Yoga Camps of Swami Ram Dev Ji; participating social activities such as Ganesh Utsav, Shiv Jayanti, Durga Puja etc.","B.Sc. (1st Year), Diploma in Personnel Management                   Educated at Marathawada University, Aurangabad, Maharashtra ","Bulgaria, Egypt, Hungary, Romania, South Africa and U.S.A.","`Khaire Niwas`, Swatantra Sainik Bhaurao Bhaguji Khaire Marg, Machali Khadak, Sambhaji Nagar, Aurangabad - 431 001,  MaharashtraTels. (0240) 2331125, 2331225   Fax. (0240) 2331225",,Members of  various clubs,"Sambhaji Nagar, Aurangabad (Maharashtra)",,"2,08,87,871 2",,Shivsena,Upliftment of the economical weaker section of the society and women and child welfare;empowerment of women.
